field,label,type_code,type_name,storage,pointer_file,has_description,has_input_transform,last_edited,help_prompt
0.096,WHO ENTERED PATIENT,P,POINTER,0;15,200.0,True,True,2901006,The name of the user who entered this patient into the PATIENT file.
0.097,DATE ENTERED INTO FILE,D,DATE/TIME,0;16,,True,True,3171030,The date this patient record was established in the patient file.
0.098,HOW WAS PATIENT ENTERED?,S,SET OF CODES,0;17,,True,True,2961220,
0.1,WARD LOCATION,F,FREE TEXT,".1;E1,30",,True,True,2941123,The ward on which this patient is currently residing [2-30 characters].
0.101,ROOM-BED,F,FREE TEXT,.101;1,,True,True,2901022,Answer must be 3-15 characters in length.
0.102,CURRENT MOVEMENT,P,POINTER,.102;1,405.0,True,True,2891218,
0.103,TREATING SPECIALTY,P,POINTER,.103;1,45.7,True,True,2840328,The treating specialty to which this inpatient applicant is currently assigned.
0.104,PROVIDER,P,POINTER,.104;1,200.0,True,True,3060624,The provider currently assigned to this inpatient applicant.
0.1041,ATTENDING PHYSICIAN,P,POINTER,.1041;1,200.0,True,True,2941207,This field should contain the attending physician currently responsible for this patient's care.
0.105,CURRENT ADMISSION,P,POINTER,.105;1,405.0,True,True,2891214,
0.106,LAST DMMS EPISODE NUMBER,N,NUMERIC,.106;1,,True,True,2900215,"Type a Number between 1 and 99999, 0 Decimal Digits"
0.107,LODGER WARD LOCATION,F,FREE TEXT,.107;1,,True,True,2900409,"If the patient is a lodger, this is the ward on which the patient resides (2-30 characters)."
0.108,CURRENT ROOM,P,POINTER,.108;1,405.4,True,True,2900322,
0.109,EXCLUDE FROM FACILITY DIR,S,SET OF CODES,.109;1,,True,True,3030218,
0.111,STREET ADDRESS [LINE 1],F,FREE TEXT,.11;1,,True,True,3180227,Enter the first line of this applicant's residence street address [3-35 characters].
0.1112,ZIP+4,F,FREE TEXT,.11;12,,True,True,3031113,Answer with either 5 digit or 9 digit zip code.
0.1118,STREET ADDRESS CASS IND,S,SET OF CODES,.11;18,,True,True,3180213,Select the CASS status for the street address. 
0.1119,MAILING ADDR OVERRIDE IND,F,FREE TEXT,.11;19,,True,True,3250204,Enter the validation key hash code returned from a Universal Address Module (UAM) request for an entered valid mailing a
0.112,STREET ADDRESS [LINE 2],F,FREE TEXT,.11;2,,True,True,3060802,"If necessary, enter the second line of this applicant's street address [3-30 characters]."
0.113,STREET ADDRESS [LINE 3],F,FREE TEXT,.11;3,,True,True,3180227,"If necessary, enter a third line of this applicant's street address [3-30 characters]."
0.114,CITY,F,FREE TEXT,.11;4,,True,True,3180227,Answer must be 2-15 characters in length
0.115,STATE,P,POINTER,.11;5,5.0,True,True,3070626,Select from the available listing the state in which this applicant resides.
0.1151,RESIDENTIAL ADDRESS [LINE 1],F,FREE TEXT,.115;1,,True,True,3210713,Answer must be 3-35 characters in length.
0.1152,RESIDENTIAL ADDRESS [LINE 2],F,FREE TEXT,.115;2,,True,True,3210713,Answer must be 3-30 characters in length.
0.1153,RESIDENTIAL ADDRESS [LINE 3],F,FREE TEXT,.115;3,,True,True,3210713,Answer must be 3-30 characters in length.
0.1154,RESIDENTIAL CITY,F,FREE TEXT,.115;4,,True,True,3210713,Answer must be 2-15 characters in length.
0.1155,RESIDENTIAL STATE,P,POINTER,.115;5,5.0,True,True,3210713,Select from the available listing the state in which this applicant resides.
0.1156,RESIDENTIAL ZIP+4,F,FREE TEXT,.115;6,,True,True,3210713,Answer with either 5 digit or 9 digit zip code.
0.1157,RESIDENTIAL COUNTY,N,NUMERIC,.115;7,,True,True,3180124,Enter the county in which this applicant resides.
0.11571,RESIDENTIAL PROVINCE,F,FREE TEXT,.115;8,,True,True,3210713,Answer must be 1-20 characters in length.
0.11572,RESIDENTIAL POSTAL CODE,F,FREE TEXT,.115;9,,True,True,3210713,Answer must be 1-10 characters in length.
0.11573,RESIDENTIAL COUNTRY,P,POINTER,.115;10,779.004,True,True,3210713,Enter the country where the patient's residential address is located.  If entering an Army/Air Force Post Office (APO) o
0.1158,RESIDENTIAL ADDR CHANGE DT/TM,D,DATE/TIME,.115;11,,True,True,3210604,
0.11581,RESIDENTIAL ADDR CHANGE SITE,P,POINTER,.115;15,4.0,True,True,3170814,Please enter the site that last changed this patient's residential address. 
0.11582,RESIDENTIAL ADDR CHANGE SOURCE,S,SET OF CODES,.115;12,,True,True,3180213,Please enter the source of the address change.
0.11583,RESIDENTIAL ADDR CHANGE USER,P,POINTER,.115;16,200.0,True,True,3210604,Enter the name of the user who has changed this patient's residential address.
0.1159,RESIDENTIAL ADDR CASS IND,S,SET OF CODES,.115;19,,True,True,3180213,Select the CASS status for the residential address
0.11591,RESIDENTIAL ADDR OVERRIDE IND,F,FREE TEXT,.115;20,,True,True,3250204,Enter the validation key hash code returned from a Universal Address Module (UAM) request for an entered valid residenti
0.116,ZIP CODE,F,FREE TEXT,.11;6,,True,True,3031113,Enter the zip code for the city in which this applicant resides.
0.117,COUNTY,N,NUMERIC,.11;7,,True,True,2980520,Enter the county in which this applicant resides.
0.1171,PROVINCE,F,FREE TEXT,.11;8,,True,True,3180227,Answer must be 1-20 characters in length.
0.1172,POSTAL CODE,F,FREE TEXT,.11;9,,True,True,3180227,Answer must be 1-10 characters in length.
0.1173,COUNTRY,P,POINTER,.11;10,779.004,True,True,3210527,Enter the country where the patient's mailing address is located.
0.118,ADDRESS CHANGE DT/TM,D,DATE/TIME,.11;13,,True,True,3061024,(No range limit on date)
0.119,ADDRESS CHANGE SOURCE,S,SET OF CODES,.11;14,,True,True,3171208,Please enter the source of the address change.
0.12,ADDRESS CHANGE SITE,P,POINTER,.11;15,4.0,True,True,3020703,Please enter the site that last changed this patient's address.
0.121,BAD ADDRESS INDICATOR,S,SET OF CODES,.11;16,,True,True,3140707,"Please enter 1 if the address is 'UNDELIVERABLE', 2 if the patient is 'HOMELESS', or 3 for 'OTHER' bad address reasons. "
0.12105,TEMPORARY ADDRESS ACTIVE?,S,SET OF CODES,.121;9,,True,True,2930419,"Enter 'Y' if you want to enter/edit Temporary address data, 'N' if not."
0.1211,TEMPORARY STREET [LINE 1],F,FREE TEXT,.121;1,,True,True,3180227,Enter the first line of this applicants temporary address [2-30 characters].
0.12111,TEMPORARY ADDRESS COUNTY,N,NUMERIC,.121;11,,True,True,3010110,Enter the county in which the applicant's temporary address exists.
0.12112,TEMPORARY ZIP+4,F,FREE TEXT,.121;12,,True,True,2930603,Answer with either 5 digit or 9 digit zip code.
0.12113,TEMPORARY ADDRESS CHANGE DT/TM,D,DATE/TIME,.121;13,,True,True,3050615,(No range limit on date)
0.12114,TEMPORARY ADDRESS CHANGE SITE,P,POINTER,.121;14,4.0,True,True,3050519,
0.12115,TEMPORARY ADDR CASS IND,S,SET OF CODES,.121;15,,True,True,3180213,Select the CASS status for the temporary address
0.12116,TEMPORARY COUNTRY CODE,P,POINTER,.121;16,12.12,True,True,3240722,Enter the country dialing code for TEMPORARY PHONE NUMBER.
0.12117,TEMPORARY EXTENSION,F,FREE TEXT,.121;17,,True,True,3240829,Answer must be 1-6 digits in length.
0.1212,TEMPORARY STREET [LINE 2],F,FREE TEXT,.121;2,,True,True,3180411,"Enter, if necessary, the second line of this applicants temporary address [2-30 characters]."
0.1213,TEMPORARY STREET [LINE 3],F,FREE TEXT,.121;3,,True,True,3180227,"Enter, if necessary, the third line of this applicants temporary address [2-30 characters]."
0.1214,TEMPORARY CITY,F,FREE TEXT,.121;4,,True,True,3180227,Enter the city in which this applicant is temporarily residing [2-30 characters].
0.1215,TEMPORARY STATE,P,POINTER,.121;5,5.0,True,True,3070626,Enter the state in which this applicant is temporarily residing.
0.1216,TEMPORARY ZIP CODE,F,FREE TEXT,.121;6,,True,True,2930603,Enter the zip code of the temporary address at which this patient is currently residing.
0.1217,TEMPORARY ADDRESS START DATE,D,DATE/TIME,.121;7,,True,True,2890115,Enter the date on which the patient will first be found at the temporary address indicated.
0.1218,TEMPORARY ADDRESS END DATE,D,DATE/TIME,.121;8,,True,True,2890113,Enter the date as of which the patient will no longer be at the temporary address indicated.
0.1219,TEMPORARY PHONE NUMBER,F,FREE TEXT,.121;10,,True,True,3210528,Enter the telephone number of the temporary address at which the patient is located [4-20 characters].
0.122,ADDRESS CHANGE USER,P,POINTER,.11;17,200.0,True,True,3030604,
0.1221,TEMPORARY ADDRESS PROVINCE,F,FREE TEXT,.122;1,,True,True,3180227,Answer must be 1-20 characters in length.
0.1222,TEMPORARY ADDRESS POSTAL CODE,F,FREE TEXT,.122;2,,True,True,3180227,Answer must be 1-10 characters in length.
0.1223,TEMPORARY ADDRESS COUNTRY,P,POINTER,.122;3,779.004,True,True,3060615,
0.131,PHONE NUMBER [RESIDENCE],F,FREE TEXT,.13;1,,True,True,3120131,Enter the patients home telephone number [4-20 characters].
0.1311,CELLULAR NUMBER CHANGE SOURCE,S,SET OF CODES,.13;10,,True,True,3171208,Please enter the source of the Cellular number change.
0.13111,CELLULAR NUMBER CHANGE SITE,P,POINTER,.13;11,4.0,True,True,3060410,Please enter the site that last changed this patient's Cellular number.
0.1312,PAGER NUMBER CHANGE DT/TM,D,DATE/TIME,.13;12,,True,True,3060410,
0.1313,PAGER NUMBER CHANGE SOURCE,S,SET OF CODES,.13;13,,True,True,3130522,Please enter the source of the Pager number change.
0.1314,PAGER NUMBER CHANGE SITE,P,POINTER,.13;14,4.0,True,True,3060410,Please enter the site that last changed this patient's Pager number.
0.1315,CONFIDENTIAL PHONE NUMBER,F,FREE TEXT,.13;15,,True,True,3250725,"Enter the telephone number of the confidential address at which the patient is located [4-20 characters]. ""X"" and extens"
0.1316,EMAIL ADDRESS INDICATOR,S,SET OF CODES,.13;16,,True,True,3121119,Does the Veteran have an Email address?
0.1317,EMAIL ADDRESS INDICATOR DT/TM,D,DATE/TIME,.13;17,,True,True,3121120,Enter the date and time of the Email Address Indicator response.
0.1318,EMAIL ADDRESS CHANGE USER,P,POINTER,.13;18,200.0,True,True,3210604,Enter the name of the user who has changed this patient's email address.
0.1319,CELLULAR NUMBER CHANGE USER,P,POINTER,.13;19,200.0,True,True,3210617,Enter the name of the user who has changed this patient's cell number.
0.132,PHONE NUMBER [WORK],F,FREE TEXT,.13;2,,True,True,3250107,"If employed, enter the telephone number of this applicant's place of employment [4-20 characters]."
0.13201,CONFIDENTIAL COUNTRY CODE,P,POINTER,.132;10,12.12,True,True,3240726,Enter the country dialing code for CONFIDENTIAL PHONE NUMBER.
0.1321,RESIDENCE NUMBER CHANGE DT/TM,D,DATE/TIME,.132;1,,True,True,3210604,Please enter the date and time of the Residence phone number change.
0.13211,EXTENSION [RESIDENCE],F,FREE TEXT,.132;11,,True,True,3240829,Answer must be 1-6 digits in length.
0.13212,EXTENSION [CELLULAR],F,FREE TEXT,.132;12,,True,True,3240829,Answer must be 1-6 digits in length.
0.13213,EXTENSION [WORK],F,FREE TEXT,.132;13,,True,True,3240829,Answer must be 1-6 digits in length.
0.13214,CONFIDENTIAL EXTENSION,F,FREE TEXT,.132;14,,True,True,3240829,Answer must be 1-6 digits in length.
0.1322,RESIDENCE NUMBER CHANGE SOURCE,S,SET OF CODES,.132;2,,True,True,3171208,Please enter the source of the Residence phone number change.
0.1323,RESIDENCE NUMBER CHANGE SITE,P,POINTER,.132;3,4.0,True,True,3120424,Please enter the site that last changed this patient's Residence phone number.
0.1324,RESIDENCE NUMBER CHANGE USER,P,POINTER,.132;4,200.0,True,True,3210604,Enter the name of the user who has changed this patient's residential phone number.
0.1325,PHONE [WORK] CHANGE USER,P,POINTER,.132;5,200.0,True,True,3210604,Enter the name of the user who has changed this patient's work phone number.
0.1326,PHONE [WORK] CHANGE DT/TM,D,DATE/TIME,.132;6,,True,True,3210701,Please enter the date and time of the work phone number change.
0.1327,COUNTRY CODE [RESIDENCE],P,POINTER,.132;7,12.12,True,True,3240722,Enter the country dialing code for PHONE NUMBER [RESIDENCE].
0.1328,COUNTRY CODE [CELLULAR],P,POINTER,.132;8,12.12,True,True,3240726,Enter the country dialing code for PHONE NUMBER [CELLULAR].
0.1329,COUNTRY CODE [WORK],P,POINTER,.132;9,12.12,True,True,3240722,Enter the country dialing code for PHONE NUMBER [WORK].
0.133,EMAIL ADDRESS,F,FREE TEXT,.13;3,,False,True,3090410,Enter the applicant's email address [3-50 characters].  The entry must include an '@'.
0.134,PHONE NUMBER [CELLULAR],F,FREE TEXT,.13;4,,True,True,3220719,"Answer must be 4-20 characters in length, be numeric with only spaces, parenthesis, periods, and dashes for separators."
0.135,PAGER NUMBER,F,FREE TEXT,.13;5,,True,True,3090410,"Answer must be 4-20 characters in length, be numeric with only spaces, parenthesis, periods, and dashes for separators."
0.136,EMAIL ADDRESS CHANGE DT/TM,D,DATE/TIME,.13;6,,True,True,3210604,
0.137,EMAIL ADDRESS CHANGE SOURCE,S,SET OF CODES,.13;7,,True,True,3171208,Please enter the source of the EMAIL address change.
0.138,EMAIL ADDRESS CHANGE SITE,P,POINTER,.13;8,4.0,True,True,3060410,Please enter the site that last changed this patient's EMAIL address.
0.139,CELLULAR NUMBER CHANGE DT/TM,D,DATE/TIME,.13;9,,True,True,3210604,
0.14,CURRENT MEANS TEST STATUS,P,POINTER,0;14,408.32,True,True,3060624,This field is computed by the system.  It contains the current means test status for a patient.
0.141,CONFIDENTIAL ADDRESS CATEGORY,S,SET OF CODES,.14;0,,True,False,,
0.14105,CONFIDENTIAL ADDRESS ACTIVE?,S,SET OF CODES,.141;9,,True,True,3060829,Enter 'Y' if you want to enter or edit confidential address data.
0.1411,CONFIDENTIAL STREET [LINE 1],F,FREE TEXT,.141;1,,True,True,3180227,Enter the first line of the applicant's confidential street address [2-30 characters].
0.14111,CONFIDENTIAL ADDRESS COUNTY,N,NUMERIC,.141;11,,True,True,3060829,Enter a valid county for the applicant's confidential address.
0.14112,CONFIDENTIAL ADDR CHANGE DT/TM,D,DATE/TIME,.141;12,,True,True,3210604,
0.14113,CONFIDENTIAL ADDR CHANGE SITE,P,POINTER,.141;13,4.0,True,True,3050519,
0.14114,CONFIDENTIAL ADDR PROVINCE,F,FREE TEXT,.141;14,,True,True,3180227,Answer must be 1-20 characters in length.
0.14115,CONFIDENTIAL ADDR POSTAL CODE,F,FREE TEXT,.141;15,,True,True,3180227,Answer must be 1-10 characters in length.
0.14116,CONFIDENTIAL ADDR COUNTRY,P,POINTER,.141;16,779.004,True,True,3210528,Enter the country where the patient's address is located.
0.14117,CONFIDENTIAL ADDR CASS IND,S,SET OF CODES,.141;17,,True,True,3180213,Select the CASS status for the confidential address
0.14118,CONFIDENTIAL ADDR CHANGE USER,P,POINTER,.141;18,200.0,True,True,3210604,Enter the name of the user who has changed this patient's confidential address.
0.14119,CONFIDENTIAL PHONE CHANGE USER,P,POINTER,.141;19,200.0,True,True,3210604,Enter the name of the user who has changed this patient's confidential phone number.
0.1412,CONFIDENTIAL STREET [LINE 2],F,FREE TEXT,.141;2,,True,True,3180227,"If necessary, enter the second line of this applicant's confidential address [2-30 characters]."
0.141201,CONFIDENTIAL ADDR OVERRIDE IND,F,FREE TEXT,.141;20,,True,True,3250204,Enter the validation key hash code returned from a Universal Address Module (UAM) request for an entered valid confident
0.14121,CONFIDENTIAL PHONE CHG DT/TM,D,DATE/TIME,.141;21,,True,True,3250611,Please enter the date and time the Confidential phone number was changed.
0.14122,CONFIDENTIAL PHONE CHG SOURCE,S,SET OF CODES,.141;22,,True,True,3250611,Please enter the source of the Confidential phone number change.
0.14123,CONFIDENTIAL PHONE CHG SITE,P,POINTER,.141;23,4.0,True,True,3250610,Please enter the site that last changed this patient's Confidential phone number.
0.1413,CONFIDENTIAL STREET [LINE 3],F,FREE TEXT,.141;3,,True,True,3180227,"If necessary, enter the third line of this applicant's confidential street address [2-30 characters]"
0.1414,CONFIDENTIAL ADDRESS CITY,F,FREE TEXT,.141;4,,True,True,3180227,Enter the city for the applicant's confidential address [2-30 characters].
0.1415,CONFIDENTIAL ADDRESS STATE,P,POINTER,.141;5,5.0,True,True,3060829,Enter the State for the applicant's confidential address.
0.1416,CONFIDENTIAL ADDRESS ZIP CODE,F,FREE TEXT,.141;6,,True,True,3060829,Answer with either the 5 digit or 9 digit zip code.
0.1417,CONFIDENTIAL START DATE,D,DATE/TIME,.141;7,,True,True,3070801,Enter the date to begin contacting the applicant at the confidential address.  Date cannot be in the past.
0.1418,CONFIDENTIAL END DATE,D,DATE/TIME,.141;8,,True,True,3070801,Enter the date the applicant will no longer be contacted at the confidential address.  End date must be after start date
0.152,INELIGIBLE DATE,D,DATE/TIME,.15;2,,True,True,3220613,The Ineligible Date cannot be prior to the beneficiary Date of Birth.  Enter the date this patient was identified as bei
0.153,MISSING PERSON DATE,D,DATE/TIME,.15;3,,True,True,2900418,Enter the date this patient was identified as being a missing person.
0.16,MISSING OR INELIGIBLE,A,ADDRESS,.16;0,,True,False,,
0.1651,INELIGIBLE TWX SOURCE,S,SET OF CODES,INE;1,,True,True,3220721,The source of the TWX which informed you this patient is ineligible for treatment.
0.1653,INELIGIBLE TWX CITY,F,FREE TEXT,INE;3,,True,True,3220721,The city from which the TWX informing you of this patients ineligibility originated [3-30 characters].
0.1654,INELIGIBLE TWX STATE,P,POINTER,INE;4,5.0,True,True,3220721,The state from which the TWX informing you of this patients ineligiblity originated.
0.1656,INELIGIBLE VARO DECISION,F,FREE TEXT,INE;6,,True,True,3220721,The decision made by the VARO concerning this patient's ineligibility [3-75 characters].
0.1657,MISSING PERSON TWX SOURCE,S,SET OF CODES,INE;7,,True,True,2880527,The location from which the TWX originated advising you that this patient was missing.
0.1658,MISSING PERSON TWX CITY,F,FREE TEXT,INE;8,,True,True,2880527,ANSWER MUST BE 3-30 CHARACTERS IN LENGTH
0.1659,MISSING PERSON TWX STATE,P,POINTER,INE;9,5.0,True,True,2880527,The state from which the TWX informing you this patient was missing originated.
0.172,FEE HOSPITAL I.D.,S,SET OF CODES,.17;2,,True,True,2930326,
0.181,EMERGENCY RESPONSE INDICATOR,S,SET OF CODES,.18;1,,True,True,3200327,Enter the appropriate ER Indicator to identify patients impacted by the COVID-19 Pandemic.
0.182,HISTORIC KATRINA ERI,S,SET OF CODES,KATR;1,,True,True,3200401,Enter the appropriate ER Indicator to identify patients from impacted zip code areas designated by FEMA.
0.19,DIVISION,C,COMPUTED, ; ,,True,True,,A computed field which determines the current division to which this inpatient is assigned.
0.2101,K2-COUNTRY,P,POINTER,.211;12,779.004,True,True,3191203,Enter the country where the secondary NOK address is located.  If entering an Army/Air Force Post Office (APO) or a Flee
0.21011,K-WORK PHONE NUMBER,F,FREE TEXT,.21;11,,True,True,3100528,Enter the next of kin's work phone number.  Answer must be 4-20 characters in length.
0.21012,PRIMARY NOK CHANGE DATE/TIME,D,DATE/TIME,.212;1,,True,True,3050616,
0.2102,K2-PROVINCE,F,FREE TEXT,.211;13,,True,True,3191203,Answer must be 1-20 characters in length.
0.2103,K2-POSTAL CODE,F,FREE TEXT,.211;14,,True,True,3191203,Answer must be 1-10 characters in length.
0.2104,K2-RELATIONSHIP TYPE,P,POINTER,.211;15,12.11,True,True,3220105,Enter the relationship of the secondary NOK to the patient.
0.211,K-NAME OF PRIMARY NOK,F,FREE TEXT,.21;1,,True,True,3050630,"Enter name in 'LAST,FIRST MIDDLE SUFFIX' format, must be 3-35 characters in length."
0.211011,K2-WORK PHONE NUMBER,F,FREE TEXT,.211;11,,True,True,3100528,Enter the work phone for the secondary next of kin.  Answer must be 4-20 characters in length.
0.211012,SECONDARY NOK CHANGE DATE/TIME,D,DATE/TIME,.212;2,,True,True,3100526,
0.212,K-RELATIONSHIP TO PATIENT,F,FREE TEXT,.21;2,,True,True,3220626,Enter any notes related to the relationship of the primary NOK to the patient [1-30 characters].
0.2125,K-ADDRESS SAME AS PATIENT'S?,S,SET OF CODES,.21;10,,True,True,2861002,Enter 'Y' if primary NOK address/phone number same as patients otherwise enter 'N'.
0.213,K-STREET ADDRESS [LINE 1],F,FREE TEXT,.21;3,,True,True,2990920,Enter the first line of the primary NOK's address [3-30 characters].
0.214,K-STREET ADDRESS [LINE 2],F,FREE TEXT,.21;4,,True,True,2990921,"If necessary, enter the second line of the primary NOK's address [3-30 characters]."
0.215,K-STREET ADDRESS [LINE 3],F,FREE TEXT,.21;5,,True,True,2861002,"If necessary, enter the third line of the primary NOK's address [3-30 characters]."
0.216,K-CITY,F,FREE TEXT,.21;6,,True,True,2990921,Enter the city in which the primary NOK resides [3-30 characters].
0.217,K-STATE,P,POINTER,.21;7,5.0,True,True,2990921,Enter the state in which the primary NOK resides.
0.218,K-ZIP CODE,F,FREE TEXT,.21;8,,True,True,2930603,Enter the 5-digit zip code where the primary NOK resides.
0.219,K-PHONE NUMBER,F,FREE TEXT,.21;9,,True,True,3100528,Enter the phone number of the primary NOK [4-20 characters].
0.2191,K2-NAME OF SECONDARY NOK,F,FREE TEXT,.211;1,,True,True,3190821,"Enter name in 'LAST,FIRST MIDDLE SUFFIX' format, must be 3-35 characters in length."
0.2192,K2-RELATIONSHIP TO PATIENT,F,FREE TEXT,.211;2,,True,True,3220626,Enter any notes related to the relationship of the secondary NOK to the patient [1-30 characters].
0.21925,K2-ADDRESS SAME AS PATIENT'S?,S,SET OF CODES,.211;10,,True,True,2861002,Enter 'Y' if the secondary NOK address/phone number is the same as the patients otherwise enter 'N'.
0.2193,K2-STREET ADDRESS [LINE 1],F,FREE TEXT,.211;3,,True,True,2890115,Enter the first line of the secondary NOK's address [3-30 characters].
0.2194,K2-STREET ADDRESS [LINE 2],F,FREE TEXT,.211;4,,True,True,2890115,"If necessary, enter the second line of the secondary NOK's address [3-30 characters]."
0.2195,K2-STREET ADDRESS [LINE 3],F,FREE TEXT,.211;5,,True,True,2861002,"If necessary, enter the third line of the secondary NOK's address [3-30 characters]."
0.2196,K2-CITY,F,FREE TEXT,.211;6,,True,True,2861002,Enter the city in which the secondary NOK resides [3-30 characters].
0.2197,K2-STATE,P,POINTER,.211;7,5.0,True,True,2861002,Enter the state in which the secondary NOK resides.
0.2198,K2-ZIP CODE,F,FREE TEXT,.211;8,,True,True,2930603,Enter the 5-digit zip code of the residence of the secondary NOK.
0.2199,K2-PHONE NUMBER,F,FREE TEXT,.211;9,,True,True,3190821,Enter the phone number of the secondary NOK [3-20 characters].
0.2201,E-ZIP+4,F,FREE TEXT,.22;1,,True,True,2930603,Answer with either 5 digit or 9 digit zip code.
0.2202,D-ZIP+4,F,FREE TEXT,.22;2,,True,True,2930603,Answer with either 5 digit or 9 digit zip code.
0.2203,K2-ZIP+4,F,FREE TEXT,.22;3,,True,True,2930603,Answer with either 5 digit or 9 digit zip code.
0.2204,E2-ZIP+4,F,FREE TEXT,.22;4,,True,True,2930603,Answer with either 5 digit or 9 digit zip code.
0.2205,EMPLOYER ZIP+4,F,FREE TEXT,.22;5,,True,True,2930603,Answer with either 5 digit or 9 digit zip code.
0.2206,SPOUSE'S EMP ZIP+4,F,FREE TEXT,.22;6,,True,True,2930603,Answer with either 5 digit or 9 digit zip code.
0.2207,K-ZIP+4,F,FREE TEXT,.22;7,,True,True,2950922,Answer with either 5 digit or 9 digit zip code.
0.221,K-COUNTRY,P,POINTER,.21;12,779.004,True,True,3191203,Enter the country where the primary NOK address is located.  If entering an Army/Air Force Post Office (APO) or a Fleet 
0.222,K-PROVINCE,F,FREE TEXT,.21;13,,True,True,3191203,Answer must be 1-20 characters in length.
0.223,K-POSTAL CODE,F,FREE TEXT,.21;14,,True,True,3191203,Answer must be 1-10 characters in length.
0.224,K-RELATIONSHIP TYPE,P,POINTER,.21;15,12.11,True,True,3220106,Enter the relationship of the primary NOK to the patient.
0.2401,FATHER'S NAME,F,FREE TEXT,.24;1,,True,True,3050630,"Enter name in 'LAST,FIRST MIDDLE SUFFIX' format, must be 3-35 characters in length."
0.2402,MOTHER'S NAME,F,FREE TEXT,.24;2,,True,True,3050630,"Enter name in 'LAST,FIRST MIDDLE SUFFIX' format, must be 3-35 characters in length."
0.2403,MOTHER'S MAIDEN NAME,F,FREE TEXT,.24;3,,True,True,3050630,"Enter name in 'LAST,FIRST MIDDLE SUFFIX' format, must be 3-35 characters in length."
0.2405,PREFERRED NAME,F,FREE TEXT,.24;5,,True,True,3241211,Enter the Preferred Name (1-25 alphabetic characters and/or spaces) for how the patient would like to be addressed at th
0.2406,PRONOUN,P,POINTER,.2406;0,,True,False,,
0.24061,PRONOUN DESCRIPTION,F,FREE TEXT,.241;2,,True,True,3210624,Enter the description (3-255 characters) of the 'Other' Pronoun for specifically addressing the patient.
0.251,SPOUSE'S EMPLOYER NAME,F,FREE TEXT,.25;1,,True,True,2880725,Enter the name of this spouse's employer [3-20 characters].
0.2514,SPOUSE'S OCCUPATION,F,FREE TEXT,.25;14,,True,True,2920110,Enter the spouse's current occupation.  Answer must be 3-30 characters in length.
0.2515,SPOUSE'S EMPLOYMENT STATUS,S,SET OF CODES,.25;15,,True,True,3041130,Enter the current employment status for this patient's spouse.
